corrida;secao;acoatual;qualidade;al_min;c_min;c_max;n_min;s_min;sequencia;sequenciatotal;panela;vidapanela;tempociclo;tempovacuototal;temperaturaliquidus;temperaturasaidafp;temperaturaobjetivada
5483;90.0;FD49AF2E;D90699DC;0.02;0.27;0.3;0.01;0.02;1.0;8.0;4.0;1.0;0.0;39.0;1495.0;1708;1545.0
5482;90.0;82718B31;9DBCC3D3;0.02;0.23;0.25;0.0;0.02;5.0;5.0;1.0;19.0;4990.0;39.0;1502.0;1669;1552.0
5481;90.0;B68AA3AF;9DBCC3D3;0.02;0.19;0.21;0.0;0.02;4.0;5.0;3.0;23.0;5498.0;39.0;1502.0;1677;1552.0
5480;90.0;C86D5470;C696558F;0.02;0.22;0.24;0.0;0.02;3.0;5.0;15.0;29.0;789.0;51.0;1505.0;1685;1555.0
5479;90.0;24C1F436;7D015357;0.03;0.21;0.23;0.02;0.01;2.0;5.0;6.0;46.0;4348.0;46.0;1506.0;1675;1551.0
5478;90.0;159002F9;7D015357;0.02;0.14;0.16;0.01;0.01;1.0;5.0;1.0;18.0;4665.0;53.0;1506.0;1690;1551.0
5477;90.0;F2316413;44661CD0;0.02;0.2;0.23;0.01;0.02;3.0;3.0;3.0;22.0;5165.0;32.0;1506.0;1661;1551.0
5476;90.0;82677F0C;44661CD0;0.03;0.24;0.28;0.01;0.03;2.0;3.0;15.0;28.0;476.0;32.0;1506.0;1655;1551.0
5475;90.0;18E2543B;71A937D5;0.01;0.36;0.41;0.0;0.02;1.0;3.0;6.0;45.0;4045.0;34.0;1487.0;1672;1542.0
5474;90.0;A8667946;E9D2B793;0.0;0.44;0.48;0.01;0.09;4.0;4.0;1.0;17.0;4411.0;34.0;1480.0;1649;1530.0
5473;90.0;950E3937;E9D2B793;0.0;0.43;0.48;0.01;0.09;3.0;4.0;3.0;21.0;4929.0;18.0;1480.0;1631;1530.0
5472;90.0;107D4DF9;9970B431;0.0;0.39;0.48;0.01;0.09;2.0;4.0;15.0;27.0;234.0;34.0;1480.0;1635;1530.0
5471;90.0;E7061F9A;E355BC35;0.0;0.42;0.46;0.01;0.09;1.0;4.0;6.0;44.0;3800.0;39.0;1484.0;1644;1524.0
